region,lab_a,lab_b,cophenetic_r,baker_gamma,ari
NIDO,0.25,none,0.9914262278956538,0.9857028999629727,0.7581906481734575
NIDO,0.25,0.5,0.9999824105492442,1,1
NIDO,0.25,0.25,1,1,1
NIDO,0.25,0.1,0.9999738415926552,1,1
NIDO,0.25,0.05,0.9985135538526069,0.9971968133250252,0.8887680315343609
NIDO,0.25,0.01,0.9968978831574353,0.996521044636821,0.8887680315343609
NIDO,0.25,0.001,0.9960141696788639,0.9956200197192154,0.8439214341241127
NIDO,0.1,none,0.9910065072650426,0.9857028999629727,0.7581906481734575
NIDO,0.1,0.5,0.9999382114341491,1,1
NIDO,0.1,0.25,0.9999738415926552,1,1
NIDO,0.1,0.1,1,1,1
NIDO,0.1,0.05,0.9984731876796936,0.9971968133250252,0.8887680315343609
NIDO,0.1,0.01,0.9967018706451819,0.996521044636821,0.8887680315343609
NIDO,0.1,0.001,0.9957525732909821,0.9956200197192154,0.8439214341241127
NIDO,0.05,none,0.9947069953157102,0.9911369005893184,0.8677292687500522
NIDO,0.05,0.5,0.9985518326421573,0.9971968133250252,0.8887680315343609
NIDO,0.05,0.25,0.9985135538526069,0.9971968133250252,0.8887680315343609
NIDO,0.05,0.1,0.9984731876796936,0.9971968133250252,0.8887680315343609
NIDO,0.05,0.05,1,1,1
NIDO,0.05,0.01,0.9989692715547503,0.997972820782341,0.8613197119876589
NIDO,0.05,0.001,0.9984145786993495,0.9973721750882198,0.8362173676434895
NIDO,0.01,none,0.9970062053760599,0.9855035204563792,0.7330023264661809
NIDO,0.01,0.5,0.9970626943879146,0.996521044636821,0.8887680315343609
NIDO,0.01,0.25,0.9968978831574353,0.996521044636821,0.8887680315343609
NIDO,0.01,0.1,0.9967018706451819,0.996521044636821,0.8887680315343609
NIDO,0.01,0.05,0.9989692715547503,0.997972820782341,0.8613197119876589
NIDO,0.01,0.01,1,1,1
NIDO,0.01,0.001,0.999902941309609,0.9989488700352879,0.9342572615671607
NIDO,0.001,none,0.9976618601792027,0.9864549357677201,0.7891481913699715
NIDO,0.001,0.5,0.9962462335721791,0.9956200197192154,0.8439214341241127
NIDO,0.001,0.25,0.9960141696788639,0.9956200197192154,0.8439214341241127
NIDO,0.001,0.1,0.9957525732909821,0.9956200197192154,0.8439214341241127
NIDO,0.001,0.05,0.9984145786993495,0.9973721750882198,0.8362173676434895
NIDO,0.001,0.01,0.999902941309609,0.9989488700352879,0.9342572615671607
NIDO,0.001,0.001,1,1,1
ALL,none,none,1,1,1
ALL,none,0.5,0.9987973466189288,0.9959737475245094,0.8559502606397857
ALL,none,0.25,0.9744908175095864,0.9641915718684958,0.7643655279706313
ALL,none,0.1,0.9749028853180935,0.9641915718684958,0.7643655279706313
ALL,none,0.05,0.9996446736124424,0.9998240560401971,0.9652838300335214
ALL,none,0.01,0.9998303371858243,0.9998690649601467,0.974887671570136
ALL,none,0.001,0.9996759403505135,0.9965793220838312,0.9498350980732512
ALL,0.5,none,0.9987973466189288,0.9959737475245094,0.8559502606397857
ALL,0.5,0.5,1,1,1
ALL,0.5,0.25,0.9725003239276205,0.9709666259186239,0.8925937923268451
ALL,0.5,0.1,0.9725209724212339,0.9709666259186239,0.8925937923268451
ALL,0.5,0.05,0.9996658135009262,0.9962969934041475,0.8906664306062644
ALL,0.5,0.01,0.9988446024991607,0.9961319606976655,0.8730176319563696
ALL,0.5,0.001,0.998480201491493,0.9990834547210267,0.9061151625665346
ALL,0.25,none,0.9744908175095864,0.9641915718684958,0.7643655279706313
ALL,0.25,0.5,0.9725003239276205,0.9709666259186239,0.8925937923268451
ALL,0.25,0.25,0.9999999999999998,1,1
ALL,0.25,0.1,0.9999428069192273,1,1
ALL,0.25,0.05,0.9727055683111575,0.9640212416681205,0.7829521906081794
ALL,0.25,0.01,0.9759745896967559,0.9639462963799553,0.7745814144648915
ALL,0.25,0.001,0.9763023661720448,0.9666770301523723,0.8148384622223102
ALL,0.1,none,0.9749028853180935,0.9641915718684958,0.7643655279706313
ALL,0.1,0.5,0.9725209724212339,0.9709666259186239,0.8925937923268451
ALL,0.1,0.25,0.9999428069192273,1,1
ALL,0.1,0.1,1,1,1
ALL,0.1,0.05,0.972946481397852,0.9640212416681205,0.7829521906081794
ALL,0.1,0.01,0.9764136522042427,0.9639462963799553,0.7745814144648915
ALL,0.1,0.001,0.9768103711551731,0.9666770301523723,0.8148384622223102
ALL,0.05,none,0.9996446736124424,0.9998240560401971,0.9652838300335214
ALL,0.05,0.5,0.9996658135009262,0.9962969934041475,0.8906664306062644
ALL,0.05,0.25,0.9727055683111575,0.9640212416681205,0.7829521906081794
ALL,0.05,0.1,0.972946481397852,0.9640212416681205,0.7829521906081794
ALL,0.05,0.05,1,1,1
ALL,0.05,0.01,0.9995817537047604,0.9998349672935182,0.9823512013501052
ALL,0.05,0.001,0.9993113358641998,0.9964033781240283,0.9151189281067725
ALL,0.01,none,0.9998303371858243,0.9998690649601467,0.974887671570136
ALL,0.01,0.5,0.9988446024991607,0.9961319606976655,0.8730176319563696
ALL,0.01,0.25,0.9759745896967559,0.9639462963799553,0.7745814144648915
ALL,0.01,0.1,0.9764136522042427,0.9639462963799553,0.7745814144648915
ALL,0.01,0.05,0.9995817537047604,0.9998349672935182,0.9823512013501052
ALL,0.01,0.01,0.9999999999999998,1,1
ALL,0.01,0.001,0.9999399753178594,0.9964483870439779,0.9247227696433872
ALL,0.001,none,0.9996759403505135,0.9965793220838312,0.9498350980732512
ALL,0.001,0.5,0.998480201491493,0.9990834547210267,0.9061151625665346
ALL,0.001,0.25,0.9763023661720448,0.9666770301523723,0.8148384622223102
ALL,0.001,0.1,0.9768103711551731,0.9666770301523723,0.8148384622223102
ALL,0.001,0.05,0.9993113358641998,0.9964033781240283,0.9151189281067725
ALL,0.001,0.01,0.9999399753178594,0.9964483870439779,0.9247227696433872
ALL,0.001,0.001,1,1,1
