Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chrUn_NW_021819310v1	1196	2376	+	LOC110467737	1196	protein_coding
chrUn_NW_021819260v1	44023	54420	-	LOC110484124	44023	lncRNA
chrUn_NW_021819721v1	7	1068	-	LOC110469662	7	protein_coding
chrUn_NW_021819257v1	21855	58120	-	TAF6	21855	protein_coding
chrUn_NW_021820185v1	1914	2966	+	LOC110480947	1914	protein_coding
chrUn_NW_021819627v1	1502	4115	+	LOC110469253	1502	protein_coding
chrUn_NW_021819126v1	32968	48113	+	LOC110481236	32968	
chrUn_NW_021819126v1	46745	59495	-	POLR2I	46745	
chrUn_NW_021819126v1	60039	85390	+	TBCB	60039	
chrUn_NW_021819126v1	84821	89392	-	LOC116184708	84821	
chrUn_NW_021819126v1	93601	116833	-	ARHGAP35	93601	protein_coding
chrUn_NW_021819126v1	131152	145409	+	AP2S1	131152	protein_coding
chrUn_NW_021819126v1	147854	151802	-	FKRP	147854	protein_coding
chrUn_NW_021819126v1	151582	190275	+	STRN4	151582	
chrUn_NW_021819614v1	11	4193	+	LOC116184789	11	protein_coding
chrUn_NW_021819882v1	60	2404	-	LOC110470242	60	protein_coding
chrUn_NW_021819265v1	57	26011	+	LOC110484130	57	protein_coding
chrUn_NW_021819265v1	32345	33764	-	LOC110484132	32345	lncRNA
chrUn_NW_021819265v1	33817	45071	+	LOC110484131	33817	protein_coding
chr23	20006	25433	+	LOC110469540	20006	lncRNA
chr23	30846	48144	-	YTHDF2	30846	
chr23	49421	60812	-	GMEB1	49421	protein_coding
chr23	61231	71225	+	LOC110469536	61231	protein_coding
chr23	71454	71584	-	LOC116184441	71454	snRNA
chr23	71934	78546	+	TAF12	71934	protein_coding
chr23	79956	81419	-	LOC110469538	79956	protein_coding
chr23	81826	83249	-	LOC110469539	81826	protein_coding
chr23	84063	86946	-	LOC110469542	84063	lncRNA
chr23	84650	84720	-	LOC116184443	84650	snoRNA
chr23	85484	85600	-	LOC116184447	85484	snoRNA
chr23	85802	85932	-	LOC116184446	85802	snoRNA
chr23	86519	86661	-	LOC116184445	86519	snoRNA
chr23	91542	109276	-	TRNAU1AP	91542	protein_coding
chr23	138882	142891	+	LOC116184432	138882	lncRNA
chr23	159091	253139	+	EPB41	159091	protein_coding
chr23	256816	267419	-	TMEM200B	256816	protein_coding
chr23	286542	330108	-	LOC110469529	286542	protein_coding
chr23	333625	342513	-	SRSF4	333625	protein_coding
chr23	343115	353311	-	MECR	343115	
chr23	364467	421320	+	PTPRU	364467	protein_coding
chr23	871811	893334	-	MATN1	871811	
chr23	902890	928490	-	LAPTM5	902890	
chr23	1039511	1092169	-	SDC3	1039511	protein_coding
chr23	1097556	1184479	-	PUM1	1097556	
chr23	1134472	1134556	-	LOC116184444	1134472	snoRNA
