"","Astrocytes","Ex_Pre_KCNH7","Inh_MGE_like_SST_ABI3BP","Vascular","Ex_DACH2_LUZP2","Inh_LGE_like_FOXP1_DGKH","OPCs","Microglia","Oligodendrocytes","Ex_SATB2_OVOA","Ex_DACH2_LHX2","Inh_OB_CPA6","Ex_DACH2_TAC1","Ex_CACNA1H_PROX1","Inh_OB_FGFRL1","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Inh_LGE_like_FOXP2","Inh_LGE_like_Pre","Inh_LGE_like_FOXP1_SGCG","Ex_DACH2_SLIT2","Ex_DACH2_RORB","Ex_DACH2_ITGA9","Inh_MGE_like_SST_PVALB","Ex_SATB2_FOXP2","Inh_MGE_like_ST18","Ex_BCL6","Inh_MGE_like_SST_SLC24A2","Inh_MGE_like_ANO1","Inh_MGE_like_ST18_PVALB","Inh_CGE_like_CACNA1B","Inh_CGE_like_CACNA2D3","Inh_CGE_like_MAN1A1","Ex_DACH2_GRIK4","Ex_DACH2_CEMIP","Inh_MGE_like_LHX8","Ex_CACNA1H_KIT","Ex_TCF7L2","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_CACNA1H_LHX9","Ex_KIAA1217","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_TSHZ2_NR4A2","Ex_DACH2_ZMAT4","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_Pre_SATB2","COPs+NFOLs"
"Astro-1",0.955359324038886,0.00101324948618639,0.000767540875216532,0.00313562046681764,0.00112007508782309,0.00179466737317102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astro-2",0.977347907428822,0,0,0.00124830466125963,0.000261889164034969,0.000290752356226776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astro-3",0.990831898209163,0,0.00028085066883578,0,0.000618276539080585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endo",0.0806511952709856,0,0,0.780951990170631,0.00915314821251662,0,0.00536631667110567,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epen",0.00922299926213031,0,0,0.256438568955728,0.0690679002324467,0,0,0,0.00365671832539569,0.0290187873433549,0.00616692893960273,0.00264055127431982,0.00845653138213248,0.00187094722448165,0.00130697603778409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-1-1",0,0.000336954971996319,0,0,0,0.0886490385793286,0,0,0,0,0,0,0,0,0,0.000790749102439144,0.000218841082528179,0.722642698518498,0.000947163198736967,0.0028638415416322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-1-2",0,0.00185632287949709,0,0.0016,0,0.270319562920654,0,0.015063586742083,0,0,0,0.0211117821058368,0,0,0,0,0,0.351752899972184,0.0255510817466706,0.0052520145875132,0.00150590821064428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-2-1",0,0.00109416306722539,0.0553429804981347,0,0.000236414970093788,0,0,0.00294763198772458,0,0.0100738820210816,0.00055936634139016,0,0,0,0,0,0.000653819464514704,0,0.000578775870715968,0,0,0.000461531659059417,0.00241759440671582,0.0177579842588284,0.00034016712885484,0.00321312438922288,0.000460803110332162,0.571885142244906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-2-2",0,0.000491505181346134,0.561785609149218,0.00198019801980198,0,0,0.00111606026551938,0,0,0,0,0,0,0,0,0,0,0,0.00362266220823828,0,0,0,0,0,0,0,0,0.178178695594279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-2-3",0,0,0.00174114228019891,0,0,0,0.00229353415157209,0.00459394641384451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460249314298891,0,0,0,0.932768887125183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-3",0,0,0.0431286152183797,0,0,0,0,0.000917893642313742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801411954347933,0,0.00468304910970989,0,0,0.000655147072885928,0.00156327876713744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-4-1",0,0.000377760591002195,0.000878660348220009,0,0,0,0,0.00158096151308489,0,0.00108397069413903,0.000678928757878023,0,0,0,0,0,0,0,0,0,0,0,0.000273698549661096,0.809848519358389,0,0.00124594435523381,0,0.00989769434814623,0.00124738974502408,0.00728116131624157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-4-2",0,0,0,0,0,0,0,0.00150126692958017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343800449487232,0,0,0,0,0,0.407253000098302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-5-1",0,0,0,0.00544778275450312,0,0,0.0028217603365364,0.00281408319649436,0,0,0,0,0,0,0,0,0.0010453608869572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727739290761808,0.00152710164543518,0.811192145017519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-5-2",0,0,0,0.00228961316759779,0,0,0.00289834990314312,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526158625152623,0,0.259068095753504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-6",0.00105047135409111,0.000395327310353899,0,0,0,0,0,0.00247972862227743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985203213149334,0,0,0,0,0.00176093521315985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-7",0,0,0.00263709495845569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970507616572342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-8",0,0,0.000692599928869592,0,0,0,0,0,0,0,0,0.00134205255504093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011838828334995,0,0.00237982426144027,0,0,0,0,0,0,0.00248563154671402,0.872254160676513,0.00192578677898466,0.00166563707645332,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-Im",0,0,0.0351642285880337,0.0038664564408858,0,0.00268763435567858,0.013103500571038,0.0151249818697396,0,0,0.000845783208779641,0.0210222295183957,0,0.00186088604267635,0,0,0,0.0119287329195796,0.0501983151426123,0.00390355885182197,0.00610982680302728,0,0,0.157034789379504,0,0.181733011854909,0,0.224317691674786,0,0.00316343238159788,0.00130200324328803,0,0.00628197720541291,0.00359417138350441,0,0.00102020341625041,0.00171708680314956,0,0.00171352544747773,0.00136587330328965,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-1",0,0,0,0,0,0,0,0,0,0.000337092224114797,0,0,0,0.000658237980038439,0,0.0105340609338864,0.000714937586633212,0,0,0,0,0,0.00250192567155536,0,0.000521904908296122,0,0.000772689116254218,0,0,0,0,0,0,0,0,0,0.204331914328232,0.000379337592044075,0.0015196471557312,0,0.183903775064161,0.00376878182977761,0.0275393451625961,0.00385981206238118,0.0621126460119552,0,0,0,0,0
"Glut-CACNA1H-2",0,0,0,0.000653464538387938,0.00111459715780112,0,0,0.00151764096431946,0,0.00452148358149977,0,0.000361126169867148,0,0.0358935629065021,0,0.00492139497337598,0,0,0.000331766695423136,0,0.000427141565811333,0,0.000346610784102541,0,0,0,0.00182163859227726,0,0,0,0,0,0,0,0,0,0.402195310032451,0,0.0224512082591833,0,0.0379405080966463,0,0.00652234359137218,0.00428583829730249,0.00758552182465395,0,0,0,0,0
"Glut-CACNA1H-3",0,0,0,0,0,0.000570080325911919,0,0,0,0.00280939568457241,0,0,0,0.00181304090249796,0,0.00821725783936561,0.00102303280706797,0,0.000725203823439943,0,0,0,0.00148947040475715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18280562779287,0,0.0116050167741035,0,0.130256576072388,0,0.0185330949657459,0.00498291902884541,0.0830758799567019,0.00154488500130357,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0.00374531835205993,0.0645981260553397,0,0,0.00373899600313708,0,0,0,0,0,0.00266643757194255,0,0.00119620037690698,0,0,0,0,0.0281198993688855,0,0,0,0,0,0.00121033014223223,0,0,0,0,0,0,0,0,0,0.237498266061154,0,0.0173088601475267,0,0.0864823849260502,0,0,0.00248004579598967,0.00373212362018571,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.000563503607442009,0,0,0,0.00570508714016158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00635396361643215,0,0.0124873811135209,0,0,0,0,0,0,0,0,0,0.00365197495905219,0.212880040918026,0.000444172052595698,0,0.0212853658548091,0.0636728987247605,0.00246238095510063,0.0279981098864288,0.0136427152745011,0,0.00278485174061168,0.000346004424263399,0,0
"Glut-DACH2-1",0,0,0,0.0016,0.0737341632784205,0.000492979498758751,0,0.00471982057878081,0,0.00339473281760322,0.0328418031333037,0,0,0,0,0.114042126609532,0,0,0,0,0.0126368758947963,0.00114181284680015,0.0133038574827969,0,0,0,0.00431592581381042,0,0,0,0,0,0,0.0451709563107741,0,0,0,0,0,0.18006355089706,0,0,0,0,0,0.00137359539090046,0,0.0235546774936185,0,0
"Glut-DACH2-2",0,0,0,0.00228302828016828,0.0862567085067213,0.000393301631251723,0,0.005976638762033,0,0.00896898090252386,0.0768993466406332,0,0,0,0,0.0980391364817645,0,0,0,0,0.000442270345768001,0,0,0,0,0,0,0,0,0,0,0,0,0.00784512960428259,0,0,0,0,0,0.154234011284902,0,0,0,0,0,0,0,0.00424343913634287,0,0
